SSID,BSSID,Capabilities,frequency
belkin.b9c.media,b4:75:0e:20:8b:9e,[WPA2-PSK-CCMP][WPS][ESS],5785
ASHKANNETWORK-guest,4e:f8:b3:72:0a:70,[ESS],2452
Ali&KAF,10:0d:7f:60:66:82,[WPA2-PSK-CCMP][WPS][ESS],2427
hpsetup,02:24:74:14:ca:13,[IBSS],2437
SIMAMA,30:46:9a:89:81:43,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2437
belkin.b9c,b4:75:0e:20:8b:9c,[WPA2-PSK-CCMP][WPS][ESS],2462
2WIRE137,98:2c:be:f9:f0:51,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2442
WINDWOOD-OFC,00:1e:e5:4c:ec:39,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2437
ABNOSA,64:66:b3:bc:b7:72,[WPA2-PSK-CCMP][WPS][ESS],2442
belkin.fae.5GHz,08:86:3b:56:ff:b0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],5785
MyCharterWiFif3-5G,6c:b0:ce:a8:4b:f2,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFif3-2G,6c:b0:ce:a8:4b:f3,[WPA2-PSK-CCMP][WPS][ESS],2412
qatari,ac:5d:10:9d:74:9a,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
Qatar2022,c4:04:15:a6:f0:8f,[WPA2-PSK-CCMP][ESS],2457
belkin.fae.guests,08:86:3b:56:ff:af,[ESS],2417
Mr. Internet,58:6d:8f:4c:ee:9e,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462
MyCharterWiFi88-5G,04:a1:51:d8:0d:87,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFi88-2G,04:a1:51:d8:0d:88,[WPA2-PSK-CCMP][WPS][ESS],2412
2WIRE222,74:9d:dc:15:d4:29,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
Mr. Internet-guest,58:6d:8f:4c:ee:9f,[ESS],2462
Hermosillense,00:1e:2a:78:3c:42,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
hkim07b,90:72:40:21:30:0a,[WPA2-PSK-CCMP][ESS],2437
MyCharterWiFic1-5G,6c:b0:ce:a3:bb:c0,[WPA2-PSK-CCMP][WPS][ESS],5765
NETGEAR86,04:a1:51:81:60:fe,[WPA2-PSK-CCMP][WPS][ESS],2462
CAMPKMAN-guest,48:f8:b3:57:3a:f1,[ESS],2462
NETGEAR57,4c:60:de:d8:3e:23,[WPA2-PSK-CCMP][WPS][ESS],2422
GraMi,00:18:e7:c4:97:2a,[WPS][WEP][ESS],2437
2WIRE669,60:c3:97:06:80:a1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
2WIRE381,98:2c:be:36:a0:f9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
JoLiMi,c4:6e:1f:38:3b:44,[WPA2-PSK-CCMP][WPS][ESS],2442
piggy,48:f8:b3:3c:e4:ba,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462
RobotwithHumanHair,60:c3:97:f7:ef:9e,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2457
PRETTYPOLLITO,e0:91:f5:5d:a1:7e,[WPS][WEP][ESS],2412
piggy-guest,48:f8:b3:3c:e4:bb,[ESS],2462
MotoVAP_M91403SA38XJ,30:60:23:1b:89:6d,[WPA2-PSK-CCMP][WPS][ESS],5180
ATT5T7d7Z9,94:62:69:5e:a4:a0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
NETGEAR26-5G,04:a1:51:81:5e:7f,[WPA2-PSK-CCMP][WPS][ESS],2427
SuperCharge2,28:c6:8e:b2:f4:93,[WPA2-PSK-CCMP][WPS][ESS],2462
Cisco_EC5E35D4,cc:0d:ec:5e:35:d5,[WPA2-PSK-CCMP][WPS][ESS],5220
Get your own damn wifi,28:c6:8e:b2:f5:6b,[WPA2-PSK-CCMP][WPS][ESS],2462
ATT5v7F9S5,e8:33:81:3c:33:e0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2447
ICRC1982,30:46:9a:f9:40:40,[WPA-PSK-TKIP][WPS][ESS],2412
CharterWiFi2770,c4:3d:c7:2e:e4:6d,[WPA2-PSK-CCMP][ESS],2412
Melissa's Wi-Fi Network,20:c9:d0:a1:d7:1c,[WPA2-PSK-CCMP][ESS],2437
ryanwifi,04:a1:51:a7:26:85,[WPA2-PSK-CCMP][WPS][ESS],2427
dlink,00:24:01:71:fe:8b,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2437
linksys,00:25:9c:4a:f6:2b,[ESS],2437
belkin.185,ec:1a:59:a7:71:85,[WPA2-PSK-CCMP][WPS][ESS],2437
MyCharterWiFib1-2G,e8:fc:af:98:1d:b1,[WPA2-PSK-CCMP][WPS][ESS],2412
Free WiFi,ec:1a:59:54:d2:5e,[WPA2-PSK-CCMP][WPS][ESS],2457
NETGEAR02,10:0d:7f:4c:67:a6,[WPA2-PSK-CCMP][WPS][ESS],2437
belkin.25e.guests,ec:1a:59:54:d2:61,[ESS],2457
charterWifi,04:a1:51:81:5e:49,[WPA2-PSK-CCMP][WPS][ESS],2447
Smooch,00:22:6b:82:6f:18,[WPA-PSK-TKIP][WPS][ESS],2437
Don't be Jelly.,94:44:52:62:aa:25,[WPA2-PSK-CCMP][ESS],2412
WhyPhy-G,00:22:3f:78:48:a6,[WPA2-PSK-CCMP][WPS][ESS],2432
NETGEAR60,28:c6:8e:ba:f4:10,[WPA2-PSK-CCMP][ESS],2412
MIDORI,c8:be:19:6b:ab:be,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2447
FlowerMan,b4:75:0e:a6:ce:c4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
TP-LINK_50299E,e8:94:f6:50:29:9e,[WPA2-PSK-CCMP][WPS][ESS],2457
NETGEAR49,28:c6:8e:89:8f:68,[WPA2-PSK-CCMP][WPS][ESS],2437
